model,scenario,regime,metric,reported_unit,complete_three_strategy,cached,naive,poolact,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
glm-5.3,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,84.61538461538461,80.99547511312217,97.73755656108597,16.7420814479638,20.67039106145252,13.122171945701353,15.508021390374328,13.122171945701353
glm-5.3,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,65.61085972850678,66.06334841628959,81.90045248868778,15.83710407239819,23.972602739726035,16.289592760180994,24.827586206896555,15.83710407239819
glm-5.3,restricted_search,cost_moderate,f1_mv,0-100,True,65.67250831956714,62.0278196748785,65.74188338894221,3.7140637140637125,5.987738620398297,0.0693750693750701,0.10563791630660013,0.0693750693750701
glm-5.3,restricted_search,cost_tight,f1_mv,0-100,True,20.85972850678733,20.85972850678733,30.005027652086476,9.145299145299145,43.84188961195468,9.145299145299145,43.84188961195468,9.145299145299145
glm-5.3,tuning,cost_moderate,gap0_mi,Gap points,True,98.06133287597413,97.87332960162215,98.96582781948116,1.092498217859017,1.1162368975346615,0.9044949435070322,0.9223767584834119,0.9044949435070322
glm-5.3,tuning,cost_tight,gap0_mi,Gap points,True,86.57074750139166,85.92950088398068,94.33103637151207,8.40153548753139,9.777242275472876,7.760288870120405,8.964100569878596,7.760288870120405
gpt-5.6-sol,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,65.15837104072398,64.70588235294117,67.42081447963801,2.714932126696837,4.195804195804209,2.2624434389140333,3.472222222222232,2.2624434389140333
gpt-5.6-sol,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,58.82352941176471,51.58371040723983,62.44343891402715,10.85972850678732,21.052631578947345,3.6199095022624377,6.153846153846154,3.6199095022624377
gpt-5.6-sol,restricted_search,cost_moderate,f1_mv,0-100,True,63.77792142498024,62.31271995977878,60.60331825037707,-1.7094017094017104,-2.743262869130225,-3.1746031746031704,-4.977589585351017,-3.1746031746031704
gpt-5.6-sol,restricted_search,cost_tight,f1_mv,0-100,True,20.275867922926746,19.15032679738562,21.885369532428356,2.735042735042736,14.281963770018379,1.60950160950161,7.9380158502693865,1.60950160950161
gpt-5.6-sol,tuning,cost_moderate,gap0_mi,Gap points,True,98.21139961323344,98.10591772776527,97.96701760786793,-0.1389001198973432,-0.14158179558829698,-0.2443820053655088,-0.2488326266888663,-0.2443820053655088
gpt-5.6-sol,tuning,cost_tight,gap0_mi,Gap points,True,96.04946232773469,96.64101526358955,97.27071155025706,0.6296962866675102,0.6515828553228742,1.2212492225223741,1.2714794991306677,0.6296962866675102
kimi-k3,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,76.47058823529412,73.75565610859728,93.66515837104072,19.90950226244344,26.993865030674847,17.194570135746602,22.48520710059172,17.194570135746602
kimi-k3,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,54.75113122171946,55.203619909502265,62.89592760180995,7.692307692307686,13.93442622950818,8.14479638009049,14.876033057851235,7.692307692307686
kimi-k3,restricted_search,cost_moderate,f1_mv,0-100,True,64.20342185048067,64.59192223898106,66.74088438794321,2.1489621489621555,3.326982809106216,2.5374625374625452,3.9522232060650753,2.1489621489621555
kimi-k3,restricted_search,cost_tight,f1_mv,0-100,True,18.722976370035195,21.287078934137757,30.4323780794369,9.145299145299145,42.961738308927735,11.709401709401707,62.54027926960257,9.145299145299145
kimi-k3,tuning,cost_moderate,gap0_mi,Gap points,True,97.9611398348133,98.03886592767417,98.5563281837845,0.5174622561103348,0.5278133842266941,0.595188348971206,0.6075759734674779,0.5174622561103348
kimi-k3,tuning,cost_tight,gap0_mi,Gap points,True,92.95336655015971,93.64915826734827,95.52366392604269,1.8745056586944173,2.001625741625035,2.570297375882973,2.7651471606420897,1.8745056586944173
qwen3.8-2.4t-a95b-fp8,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,74.6606334841629,68.77828054298642,93.66515837104072,24.886877828054295,36.184210526315795,19.004524886877817,25.45454545454544,19.004524886877817
qwen3.8-2.4t-a95b-fp8,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,60.18099547511312,56.10859728506787,63.80090497737556,7.692307692307686,13.709677419354826,3.6199095022624377,6.015037593984962,3.6199095022624377
qwen3.8-2.4t-a95b-fp8,restricted_search,cost_moderate,f1_mv,0-100,True,61.17311882017764,61.21381886087769,63.48488113193995,2.271062271062263,3.710048340920813,2.3117623117623083,3.7790492888843508,2.271062271062263
qwen3.8-2.4t-a95b-fp8,restricted_search,cost_tight,f1_mv,0-100,True,23.313940960999783,18.295625942684765,20.688788335847157,2.3931623931623918,13.080516625446537,-2.6251526251526265,-11.260012322858914,-2.6251526251526265
qwen3.8-2.4t-a95b-fp8,tuning,cost_moderate,gap0_mi,Gap points,True,97.72333308119076,96.92295141673006,98.86948406116441,1.946532644434356,2.0083299321592474,1.1461509799736547,1.1728529347452943,1.1461509799736547
qwen3.8-2.4t-a95b-fp8,tuning,cost_tight,gap0_mi,Gap points,True,90.7576025727036,90.62109028315723,96.27067313679852,5.6495828536412915,6.234291417139692,5.513070564094917,6.074499995389959,5.513070564094917
