model,scenario,regime,metric,reported_unit,complete_three_strategy,cached,naive,poolact,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
gpt-5.6-sol,evidence_audit,cost_tight,label_acc_mi,0-100,True,75.6787330316742,77.26244343891403,82.80542986425338,5.54298642533935,7.174231332357217,7.126696832579185,9.4170403587444,5.54298642533935
gpt-5.6-sol,evidence_audit,cost_tight,label_acc_mv,0-100,True,83.710407239819,79.18552036199095,85.97285067873302,6.7873303167420715,8.571428571428562,2.262443438914019,2.7027027027026973,2.262443438914019
gpt-5.6-sol,restricted_search,cost_moderate,f1_mi,0-100,True,62.64239028944911,61.39696904402787,57.74922789628671,-3.647741147741158,-5.941239778669461,-4.893162393162399,-7.81126385911004,-4.893162393162399
gpt-5.6-sol,restricted_search,cost_moderate,f1_mv,0-100,True,63.77792142498024,62.31271995977878,60.60331825037707,-1.7094017094017104,-2.743262869130225,-3.1746031746031704,-4.977589585351017,-3.1746031746031704
gpt-5.6-sol,restricted_search,cost_tight,f1_mi,0-100,True,19.254666901725727,19.57767722473605,23.8499245852187,4.272247360482652,21.822033898305058,4.595257683492974,23.865682574239266,4.272247360482652
gpt-5.6-sol,restricted_search,cost_tight,f1_mv,0-100,True,20.275867922926746,19.15032679738562,21.885369532428356,2.735042735042736,14.281963770018379,1.60950160950161,7.9380158502693865,1.60950160950161
gpt-5.6-sol,tuning,cost_moderate,gap0_bon,Gap points,True,99.01342731879956,98.74364517782656,99.19172453569449,0.4480793578679254,0.45378045043908966,0.17829721689493283,0.18007377557072157,0.17829721689493283
gpt-5.6-sol,tuning,cost_moderate,gap0_mi,Gap points,True,98.21139961323344,98.10591772776527,97.96701760786793,-0.1389001198973432,-0.14158179558829698,-0.2443820053655088,-0.2488326266888663,-0.2443820053655088
gpt-5.6-sol,tuning,cost_moderate,gap_bon,Gap points,True,99.01342731879956,98.74364517782656,99.19172453569449,0.4480793578679254,0.45378045043908966,0.17829721689493283,0.18007377557072157,0.17829721689493283
gpt-5.6-sol,tuning,cost_moderate,gap_mi,Gap points,True,98.21139961323344,98.10591772776527,97.96701760786793,-0.1389001198973432,-0.14158179558829698,-0.2443820053655088,-0.2488326266888663,-0.2443820053655088
gpt-5.6-sol,tuning,cost_moderate,raw_perf_bon,0-100,True,94.31200976724978,94.20999509316903,94.36542943671897,0.1554343435499419,0.16498710502661496,0.053419669469192854,0.05664142838333053,0.053419669469192854
gpt-5.6-sol,tuning,cost_moderate,raw_perf_mi,0-100,True,93.9643246156198,93.92175608211093,93.87455141102826,-0.04720467108266746,-0.05025957036131068,-0.08977320459153759,-0.09553966886770571,-0.08977320459153759
gpt-5.6-sol,tuning,cost_tight,gap0_bon,Gap points,True,98.30047271684514,98.19659228080707,98.08256105844583,-0.11403122236123409,-0.1161254374644094,-0.21791165839930215,-0.22167915613895417,-0.21791165839930215
gpt-5.6-sol,tuning,cost_tight,gap0_mi,Gap points,True,96.04946232773469,96.64101526358955,97.27071155025706,0.6296962866675102,0.6515828553228742,1.2212492225223741,1.2714794991306677,0.6296962866675102
gpt-5.6-sol,tuning,cost_tight,gap_bon,Gap points,True,98.30047271684514,98.19659228080707,98.08256105844583,-0.11403122236123409,-0.1161254374644094,-0.21791165839930215,-0.22167915613895417,-0.21791165839930215
gpt-5.6-sol,tuning,cost_tight,gap_mi,Gap points,True,96.04946232773469,96.64101526358955,97.27071155025706,0.6296962866675102,0.6515828553228742,1.2212492225223741,1.2714794991306677,0.6296962866675102
gpt-5.6-sol,tuning,cost_tight,raw_perf_bon,0-100,True,94.04788458788836,94.01412650390908,93.96293339905915,-0.05119310484992923,-0.0544525666021034,-0.08495118882920849,-0.09032759131314405,-0.08495118882920849
gpt-5.6-sol,tuning,cost_tight,raw_perf_mi,0-100,True,93.24048111836115,93.15367567318458,93.52074447605345,0.36706880286887156,0.3940465045702224,0.2802633576923057,0.3005812007088826,0.2802633576923057
kimi-k3,evidence_audit,cost_moderate,evidence_acc_mi,0-100,True,67.0814479638009,70.24886877828054,90.83710407239819,20.588235294117652,29.30756843800324,23.755656108597293,35.41315345699834,20.588235294117652
kimi-k3,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,76.47058823529412,73.75565610859728,93.66515837104072,19.90950226244344,26.993865030674847,17.194570135746602,22.48520710059172,17.194570135746602
kimi-k3,evidence_audit,cost_moderate,label_acc_mi,0-100,True,84.0497737556561,89.47963800904978,92.87330316742081,3.3936651583710358,3.792667509481662,8.82352941176471,10.497981157469717,3.3936651583710358
kimi-k3,evidence_audit,cost_moderate,label_acc_mv,0-100,True,93.66515837104072,92.3076923076923,97.28506787330316,4.977375565610856,5.392156862745101,3.619909502262445,3.864734299516903,3.619909502262445
kimi-k3,evidence_audit,cost_tight,evidence_acc_mi,0-100,True,54.29864253393665,54.52488687782806,60.29411764705882,5.769230769230759,10.580912863070523,5.995475113122168,11.04166666666666,5.769230769230759
kimi-k3,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,54.75113122171946,55.203619909502265,62.89592760180995,7.692307692307686,13.93442622950818,8.14479638009049,14.876033057851235,7.692307692307686
kimi-k3,evidence_audit,cost_tight,label_acc_mi,0-100,True,81.10859728506787,82.23981900452489,84.61538461538461,2.3755656108597236,2.8885832187070193,3.5067873303167403,4.323570432357049,2.3755656108597236
kimi-k3,evidence_audit,cost_tight,label_acc_mv,0-100,True,83.710407239819,84.16289592760181,87.33031674208145,3.167420814479641,3.7634408602150504,3.619909502262445,4.324324324324325,3.167420814479641
kimi-k3,restricted_search,cost_moderate,f1_mi,0-100,True,63.20236272442155,62.386997534056356,64.0913579884168,1.7043604543604474,2.731916139144319,0.8889952639952554,1.406585490911949,0.8889952639952554
kimi-k3,restricted_search,cost_moderate,f1_mv,0-100,True,64.20342185048067,64.59192223898106,66.74088438794321,2.1489621489621555,3.326982809106216,2.5374625374625452,3.9522232060650753,2.1489621489621555
kimi-k3,restricted_search,cost_tight,f1_mi,0-100,True,19.251059398118223,20.10021024726907,27.23945988651871,7.139249639249638,35.51828339815308,7.988400488400487,41.49590068368574,7.139249639249638
kimi-k3,restricted_search,cost_tight,f1_mv,0-100,True,18.722976370035195,21.287078934137757,30.4323780794369,9.145299145299145,42.961738308927735,11.709401709401707,62.54027926960257,9.145299145299145
kimi-k3,tuning,cost_moderate,gap0_bon,Gap points,True,98.83932273799364,98.98695455112885,98.871046094003,-0.11590845712584041,-0.1170946794468497,0.03172335600936549,0.03209588565622479,-0.11590845712584041
kimi-k3,tuning,cost_moderate,gap0_mi,Gap points,True,97.9611398348133,98.03886592767417,98.5563281837845,0.5174622561103348,0.5278133842266941,0.595188348971206,0.6075759734674779,0.5174622561103348
kimi-k3,tuning,cost_moderate,gap_bon,Gap points,True,98.83932273799364,98.98695455112885,98.871046094003,-0.11590845712584041,-0.1170946794468497,0.03172335600936549,0.03209588565622479,-0.11590845712584041
kimi-k3,tuning,cost_moderate,gap_mi,Gap points,True,97.9611398348133,98.03886592767417,98.5563281837845,0.5174622561103348,0.5278133842266941,0.595188348971206,0.6075759734674779,0.5174622561103348
kimi-k3,tuning,cost_moderate,raw_perf_bon,0-100,True,94.23151038311146,94.31534873114693,94.2804789101636,-0.03486982098333158,-0.036971523142781404,0.048968527052139166,0.051966191407792905,-0.03486982098333158
kimi-k3,tuning,cost_moderate,raw_perf_mi,0-100,True,93.75751173054731,93.82882990218975,94.12560126295796,0.2967713607682043,0.31629016484333583,0.3680895324106501,0.3925973776570668,0.2967713607682043
kimi-k3,tuning,cost_tight,gap0_bon,Gap points,True,97.47898774006714,96.15928775880599,98.19803323710529,2.0387454782993046,2.1201753110037913,0.7190454970381523,0.7376415304552797,0.7190454970381523
kimi-k3,tuning,cost_tight,gap0_mi,Gap points,True,92.95336655015971,93.64915826734827,95.52366392604269,1.8745056586944173,2.001625741625035,2.570297375882973,2.7651471606420897,1.8745056586944173
kimi-k3,tuning,cost_tight,gap_bon,Gap points,True,97.47898774006714,96.15928775880599,98.19803323710529,2.0387454782993046,2.1201753110037913,0.7190454970381523,0.7376415304552797,0.7190454970381523
kimi-k3,tuning,cost_tight,gap_mi,Gap points,True,92.95336655015971,93.64915826734827,95.52366392604269,1.8745056586944173,2.001625741625035,2.570297375882973,2.7651471606420897,1.8745056586944173
kimi-k3,tuning,cost_tight,raw_perf_bon,0-100,True,93.71883847095349,92.68051076818395,93.96441733395612,1.2839065657721704,1.385303722573905,0.24557886300263476,0.2620378858821937,0.24557886300263476
