study_group,scenario,regime,strategy,reported_agents,effort,cohort,metric,mean,known_mean,expected_items,known_items,missing_items,expected_units,known_units,missing_units,unit
scaling,evidence_audit,cost_moderate,cached,8,max,new,LA_MI,0.8614253393665159,0.8614253393665159,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,8,max,new,LA_MV,0.9547511312217195,0.9547511312217195,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,2,max,new,EA_MI,0.7760180995475113,0.7760180995475113,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,2,max,new,EA_MV,0.8257918552036199,0.8257918552036199,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,2,max,new,LA_MI,0.8676470588235294,0.8676470588235294,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,2,max,new,LA_MV,0.9225921137685843,0.9225921137685843,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,4,max,new,EA_MI,0.7760180995475113,0.7760180995475113,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,4,max,new,EA_MV,0.8428571428571429,0.8428571428571429,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,4,max,new,LA_MI,0.8676470588235294,0.8676470588235294,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,4,max,new,LA_MV,0.9316742081447964,0.9316742081447964,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,6,max,new,EA_MI,0.7760180995475113,0.7760180995475113,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,6,max,new,EA_MV,0.8445378151260504,0.8445378151260504,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,6,max,new,LA_MI,0.8676470588235294,0.8676470588235294,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,6,max,new,LA_MV,0.9318034906270201,0.9318034906270201,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,8,max,new,EA_MI,0.7760180995475113,0.7760180995475113,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,8,max,new,EA_MV,0.8416289592760181,0.8416289592760181,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,8,max,new,LA_MI,0.8676470588235294,0.8676470588235294,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,naive,8,max,new,LA_MV,0.9321266968325792,0.9321266968325792,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,2,max,new,EA_MI,0.8936651583710407,0.8936651583710407,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,2,max,new,EA_MV,0.9276018099547512,0.9276018099547512,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,2,max,new,LA_MI,0.9230769230769231,0.9230769230769231,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,2,max,new,LA_MV,0.9592760180995475,0.9592760180995475,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,4,max,new,EA_MI,0.8902714932126697,0.8902714932126697,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,4,max,new,EA_MV,0.9773755656108597,0.9773755656108597,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,4,max,new,LA_MI,0.9004524886877827,0.9004524886877827,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,4,max,new,LA_MV,0.9773755656108597,0.9773755656108597,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,6,max,new,EA_MI,0.9223227752639518,0.9223227752639518,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,6,max,new,EA_MV,1.0,1.0,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,6,max,new,LA_MI,0.9177978883861238,0.9177978883861238,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,6,max,new,LA_MV,0.9819004524886878,0.9819004524886878,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,8,max,new,EA_MI,0.9615384615384616,0.9615384615384616,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,8,max,new,EA_MV,1.0,1.0,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,8,max,new,LA_MI,0.9383484162895928,0.9383484162895928,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,poolact,8,max,new,LA_MV,0.9819004524886878,0.9819004524886878,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,2,max,new,EA_MI,0.5972850678733032,0.5972850678733032,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,2,max,new,EA_MV,0.6199095022624435,0.6199095022624435,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,2,max,new,LA_MI,0.8461538461538461,0.8461538461538461,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,2,max,new,LA_MV,0.8823529411764706,0.8823529411764706,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,4,max,new,EA_MI,0.6346153846153846,0.6346153846153846,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,4,max,new,EA_MV,0.669683257918552,0.669683257918552,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,4,max,new,LA_MI,0.847285067873303,0.847285067873303,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,4,max,new,LA_MV,0.8868778280542986,0.8868778280542986,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,6,max,new,EA_MI,0.6327300150829562,0.6327300150829562,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,6,max,new,EA_MV,0.6606334841628959,0.6606334841628959,13,13,0,13,13,0,fraction
