model,family,regime,n,score_complete_n,delivered_total,repeated_delivered_total,natural_stop_budget_fraction_mean,natural_stop_budget_fraction_median,natural_n,budget_n,cap_n,other_n,delivered_evaluations_mean,delivered_evaluations_median,unique_delivered_configs_mean,unique_delivered_configs_median,repeated_delivered_evaluations_mean,repeated_delivered_evaluations_median,withheld_evaluations_mean,withheld_evaluations_median,delivered_budget_fraction_mean,delivered_budget_fraction_median,first_best_fraction_mean,first_best_fraction_median,observations_after_first_best_mean,observations_after_first_best_median,strict_record_improvements_mean,strict_record_improvements_median,best_performance_gain_after_first3_mean,best_performance_gain_after_first3_median,best_performance_gain_after_first5_mean,best_performance_gain_after_first5_median,attempted_evaluations_mean,attempted_evaluations_median,visible_results_mean,visible_results_median,visible_error_results_mean,visible_error_results_median,agent_steps_mean,agent_steps_median,all_attempted_cost_seconds_mean,all_attempted_cost_seconds_median,all_visible_cost_seconds_mean,all_visible_cost_seconds_median,final_below_observed_best_n,final_below_observed_best_denom,final_above_observed_best_n,final_above_observed_best_denom,observed_best_reached_by_first3_n,observed_best_reached_by_first3_denom,observed_best_reached_by_first5_n,observed_best_reached_by_first5_denom,observed_best_reached_in_first_half_n,observed_best_reached_in_first_half_denom,model_final_present_n,model_final_present_denom,nonfallback_terminal_scored_n,nonfallback_terminal_scored_denom,submitted_json_object_scored_n,submitted_json_object_scored_denom,final_json_object_n,final_json_object_denom,fallback_scored_n,fallback_scored_denom,score_source_counts,score_complete_fraction,nonfallback_terminal_scored_fraction,submitted_json_object_scored_fraction,attempted_evaluations_total,visible_results_total,visible_error_results_total,withheld_evaluations_total,unique_delivered_configs_total
gemini-3.8-flash-medium,nasbench101,cost_moderate,9,9,101,0,0.8882568491461504,0.912584915818146,8,1,0,0,11.222222222222221,10,11.222222222222221,10,0,0,0.1111111111111111,0,0.8857193634216064,0.9034549082335522,0.7027657527657528,0.75,3.111111111111111,2,3.2222222222222223,4,0.0030790037579006865,0.002570807933807373,0.0020551416609022478,0.0010683735211690637,11.333333333333334,10,11.222222222222221,10,0,0,12.222222222222221,11,78995.63562011719,90741.013671875,78047.80063205295,90741.013671875,0,9,0,9,3,9,3,9,3,9,9,9,9,9,9,9,9,9,0,9,"{""matching_tool_call"": 9}",1.0,1.0,1.0,102,101,0,1,101
gemini-3.8-flash-medium,nasbench101,cost_tight,9,9,32,0,0.8741043019172268,0.8721571368819762,6,3,0,0,3.5555555555555554,3,3.5555555555555554,3,0,0,0.3333333333333333,0,0.8913460383306214,0.8915055453128392,0.6518518518518518,0.6666666666666666,1.3333333333333333,1,1.1111111111111112,1,0.00041919284396700157,0.0,0.0,0.0,3.888888888888889,3,3.5555555555555554,3,0,0,4.555555555555555,4,26220.596435546875,26654.644287109375,23425.897908528645,26654.644287109375,0,9,0,9,7,9,9,9,5,9,9,9,9,9,9,9,9,9,0,9,"{""matching_tool_call"": 9}",1.0,1.0,1.0,35,32,0,3,32
gemini-3.8-flash-medium,nasbench201,cost_free,9,9,243,0,,,4,0,5,0,27,30,27,30,0,0,0,0,,,0.40723143958438074,0.36666666666666664,15.333333333333334,15,2.7777777777777777,2,0.006356790146966662,0.0005333332682293523,0.004233333330469997,0.0005333332682293523,27,30,27,30,0,0,27.444444444444443,30,728155.9932507689,429881.3780265194,728155.9932507689,429881.3780265194,0,9,0,9,3,9,3,9,6,9,9,9,9,9,9,9,9,9,0,9,"{""matching_tool_call"": 9}",1.0,1.0,1.0,243,243,0,0,243
gemini-3.8-flash-medium,nasbench201,cost_moderate,9,9,83,0,0.9232619863561365,0.9088774886227208,9,0,0,0,9.222222222222221,9,9.222222222222221,9,0,0,0,0,0.9232619863561365,0.9088774886227208,0.4679012345679012,0.3333333333333333,4.888888888888889,6,2.2222222222222223,2,0.002485185196789419,0.0,0.0023802469063464666,0.0,9.222222222222221,9,9.222222222222221,9,0,0,10.222222222222221,10,247435.02957693217,168854.17524714125,247435.02957693217,168854.17524714125,0,9,0,9,5,9,5,9,5,9,9,9,9,9,9,9,9,9,0,9,"{""matching_tool_call"": 9}",1.0,1.0,1.0,83,83,0,0,83
gemini-3.8-flash-medium,nasbench201,cost_tight,9,9,23,0,0.8736782204878314,0.9298752484517505,8,1,0,0,2.5555555555555554,3,2.5555555555555554,3,0,0,0.1111111111111111,0,0.8622722253051712,0.9216325365756048,0.9629629629629629,1.0,0.1111111111111111,0,1.4444444444444444,1,0.0,0.0,0.0,0.0,2.6666666666666665,3,2.5555555555555554,3,0,0,3.5555555555555554,4,76226.47552363107,40578.37188959126,70509.25474129409,40578.37188959126,0,9,0,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,0,9,"{""matching_tool_call"": 9}",1.0,1.0,1.0,24,23,0,1,23
gemini-3.8-flash-medium,paramnet,cost_free,9,9,270,0,,,0,0,9,0,30,30,30,30,0,0,0,0,,,0.8703703703703703,0.9,3.888888888888889,3,7.666666666666667,8,0.016437740233545915,0.005101852040323873,0.011185692267280327,0.0037129637772838064,30,30,30,30,0,0,30,30,2943.681415296926,3240.8856079578404,2943.681415296926,3240.8856079578404,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,9,9,9,9,"{""best_evaluated_fallback"": 9}",1.0,0.0,0.0,270,270,0,0,270
gemini-3.8-flash-medium,paramnet,cost_moderate,9,9,174,0,0.9414670651480869,0.9601544595186777,6,0,3,0,19.333333333333332,23,19.333333333333332,23,0,0,0,0,0.9003161338015393,0.9287962848402636,0.7824074074074074,0.875,3.888888888888889,2,6,5,0.02792677256283782,0.007656824893122138,0.016566866409985614,0.0029428043675597815,19.333333333333332,23,19.333333333333332,23,0,0,20,24,1045.1985668208863,959.5185741901397,1045.1985668208863,959.5185741901397,0,9,0,9,2,9,3,9,2,9,0,9,0,9,0,9,9,9,9,9,"{""best_evaluated_fallback"": 9}",1.0,0.0,0.0,174,174,0,0,174
gemini-3.8-flash-medium,paramnet,cost_tight,9,9,50,0,0.940828474121467,0.9473280064500498,8,1,0,0,5.555555555555555,5,5.555555555555555,5,0,0,0.1111111111111111,0,0.9295777229328284,0.9461105590399653,0.8126543209876543,0.8888888888888888,1.2222222222222223,1,2.6666666666666665,3,0.012994375190327126,0.0015913191477242572,0.0025597189622572625,0.0,5.666666666666667,5,5.555555555555555,5,0,0,6.555555555555555,6,340.0290349589454,282.8960898160934,337.83910115824807,282.8960898160934,0,9,0,9,4,9,7,9,2,9,0,9,0,9,0,9,9,9,9,9,"{""best_evaluated_fallback"": 9}",1.0,0.0,0.0,51,50,0,1,50
glm-5.3,nasbench101,cost_free,9,9,267,2,,,0,0,9,0,29.666666666666668,30,29.444444444444443,30,0.2222222222222222,0,0,0,,,0.7558109833971903,0.6666666666666666,7.222222222222222,10,5.888888888888889,6,0.04565453750115852,0.020566225051879883,0.027276983967533815,0.017127394676208496,29.77777777777778,30,29.77777777777778,30,0.1111111111111111,0,30,30,295886.690633138,321792.40625,295886.690633138,321792.40625,0,9,0,9,0,9,0,9,1,9,9,9,9,9,9,9,9,9,0,9,"{""matching_tool_call"": 9}",1.0,1.0,1.0,268,268,1,0,265
glm-5.3,nasbench101,cost_moderate,9,9,91,0,0.9583327912698718,0.9598037662507546,7,2,0,0,10.11111111111111,11,10.11111111111111,11,0,0,0.2222222222222222,0,0.936303757269528,0.9573833939156249,0.8386149072423582,0.8888888888888888,1.8888888888888888,1,3.888888888888889,4,0.02709521187676324,0.009949266910552979,0.009058941293645793,0.0016359686851501465,10.333333333333334,11,10.11111111111111,11,0,0,11.777777777777779,13,85566.69394599067,99647.31774902344,83775.02668253581,99647.31774902344,0,9,0,9,2,9,4,9,1,9,9,9,9,9,9,9,9,9,0,9,"{""matching_tool_call"": 9}",1.0,1.0,1.0,93,91,0,2,91
