model,scenario,regime,metric,reported_unit,complete_three_strategy,naive,naive_raw,naive_complete_items,naive_expected_items,naive_cohort,naive_source_input,naive_source_row,cached,cached_raw,cached_complete_items,cached_expected_items,cached_cohort,cached_source_input,cached_source_row,poolact,poolact_raw,poolact_complete_items,poolact_expected_items,poolact_cohort,poolact_source_input,poolact_source_row,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
deepseek-v4-flash-0731,tuning,cost_tight,raw_perf_mi,0-100,True,84.97976395818922,0.8497976395818923,3,3,deepseek_rerun_20260912,rerun_aggregate,60,84.90974411920266,0.8490974411920266,3,3,deepseek_rerun_20260912,rerun_aggregate,54,92.4168485182303,0.924168485182303,3,3,deepseek_rerun_20260912,rerun_aggregate,66,7.4370845600410735,8.751594748721804,7.507104399027642,8.841275494233747,7.4370845600410735
gemini-3.8-flash-medium,evidence_audit,cost_moderate,evidence_acc_mi,0-100,True,80.09049773755656,0.8009049773755657,13,13,gemini_snapshot,gemini_absolute,54,84.16289592760181,0.8416289592760181,13,13,gemini_snapshot,gemini_absolute,46,97.17194570135746,0.9717194570135747,13,13,gemini_snapshot,gemini_absolute,62,17.0814479638009,21.327683615819204,13.009049773755654,15.456989247311824,13.009049773755654
gemini-3.8-flash-medium,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,80.54298642533936,0.8054298642533937,13,13,gemini_snapshot,gemini_absolute,56,87.33031674208145,0.8733031674208145,13,13,gemini_snapshot,gemini_absolute,48,97.73755656108597,0.9773755656108597,13,13,gemini_snapshot,gemini_absolute,64,17.194570135746602,21.34831460674156,10.407239819004522,11.917098445595853,10.407239819004522
gemini-3.8-flash-medium,evidence_audit,cost_moderate,label_acc_mi,0-100,True,90.61085972850678,0.9061085972850679,13,13,gemini_snapshot,gemini_absolute,58,92.420814479638,0.92420814479638,13,13,gemini_snapshot,gemini_absolute,50,96.04072398190044,0.9604072398190044,13,13,gemini_snapshot,gemini_absolute,66,5.4298642533936565,5.992509363295873,3.6199095022624417,3.9167686658506673,3.6199095022624417
gemini-3.8-flash-medium,evidence_audit,cost_moderate,label_acc_mv,0-100,True,91.4027149321267,0.914027149321267,13,13,gemini_snapshot,gemini_absolute,60,94.11764705882352,0.9411764705882353,13,13,gemini_snapshot,gemini_absolute,52,96.38009049773756,0.9638009049773756,13,13,gemini_snapshot,gemini_absolute,68,4.977375565610853,5.445544554455428,2.26244343891403,2.4038461538461675,2.26244343891403
gemini-3.8-flash-medium,evidence_audit,cost_tight,evidence_acc_mi,0-100,True,69.34389140271495,0.6934389140271494,13,13,gemini_snapshot,gemini_absolute,78,69.57013574660634,0.6957013574660634,13,13,gemini_snapshot,gemini_absolute,70,73.30316742081448,0.7330316742081447,13,13,gemini_snapshot,gemini_absolute,86,3.9592760180995334,5.709624796084811,3.7330316742081315,5.365853658536568,3.7330316742081315
gemini-3.8-flash-medium,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,68.77828054298642,0.6877828054298643,13,13,gemini_snapshot,gemini_absolute,80,71.49321266968326,0.7149321266968326,13,13,gemini_snapshot,gemini_absolute,72,73.75565610859728,0.7375565610859728,13,13,gemini_snapshot,gemini_absolute,88,4.977375565610853,7.2368421052631415,2.262443438914019,3.164556962025311,2.262443438914019
gemini-3.8-flash-medium,evidence_audit,cost_tight,label_acc_mi,0-100,True,87.44343891402715,0.8744343891402715,13,13,gemini_snapshot,gemini_absolute,82,87.10407239819004,0.8710407239819004,13,13,gemini_snapshot,gemini_absolute,74,87.78280542986425,0.8778280542986425,13,13,gemini_snapshot,gemini_absolute,90,0.33936651583710287,0.38809831824062613,0.6787330316742168,0.7792207792207906,0.33936651583710287
gemini-3.8-flash-medium,evidence_audit,cost_tight,label_acc_mv,0-100,True,88.23529411764706,0.8823529411764706,13,13,gemini_snapshot,gemini_absolute,84,88.23529411764706,0.8823529411764706,13,13,gemini_snapshot,gemini_absolute,76,87.78280542986425,0.8778280542986425,13,13,gemini_snapshot,gemini_absolute,92,-0.4524886877828038,-0.512820512820511,-0.4524886877828038,-0.512820512820511,-0.4524886877828038
gemini-3.8-flash-medium,restricted_search,cost_moderate,f1_mi,0-100,False,,,38,39,gemini_snapshot,gemini_absolute,98,67.61797026502909,0.6761797026502909,39,39,gemini_snapshot,gemini_absolute,94,68.35871100576982,0.6835871100576982,39,39,gemini_snapshot,gemini_absolute,102,,,0.7407407407407307,1.0954791127822938,
gemini-3.8-flash-medium,restricted_search,cost_moderate,f1_mv,0-100,False,,,38,39,gemini_snapshot,gemini_absolute,100,68.10840575546459,0.6810840575546458,39,39,gemini_snapshot,gemini_absolute,96,68.04328569034452,0.6804328569034451,39,39,gemini_snapshot,gemini_absolute,104,,,-0.06512006512007229,-0.09561237617846663,
gemini-3.8-flash-medium,restricted_search,cost_tight,f1_mi,0-100,True,21.073403720462544,0.21073403720462544,39,39,gemini_snapshot,gemini_absolute,110,20.442090589149416,0.20442090589149414,39,39,gemini_snapshot,gemini_absolute,106,30.227860374919196,0.30227860374919197,39,39,gemini_snapshot,gemini_absolute,114,9.154456654456652,43.44080707554403,9.785769785769782,47.87068985480396,9.154456654456652
gemini-3.8-flash-medium,restricted_search,cost_tight,f1_mv,0-100,True,20.4323780794369,0.20432378079436903,39,39,gemini_snapshot,gemini_absolute,112,20.89857854563737,0.2089857854563737,39,39,gemini_snapshot,gemini_absolute,108,33.399411046469865,0.3339941104646987,39,39,gemini_snapshot,gemini_absolute,116,12.967032967032965,63.46316085489314,12.500832500832498,59.81666395890872,12.500832500832498
gemini-3.8-flash-medium,tuning,cost_moderate,gap0_bon,Gap points,False,,,2,3,gemini_snapshot,gemini_metrics,"[286,510,616,1369,1429,1447,1491,1547,1579]",,,1,3,gemini_snapshot,gemini_metrics,"[679,777,1215,1411,1421,1457,1503,1583,1607]",,,0,3,gemini_snapshot,gemini_metrics,"[470,506,525,1375,1391,1469,1569,1599,1603]",,,,,
gemini-3.8-flash-medium,tuning,cost_moderate,gap0_mi,Gap points,False,,,2,3,gemini_snapshot,gemini_metrics,"[285,509,615,1368,1428,1446,1490,1546,1578]",,,1,3,gemini_snapshot,gemini_metrics,"[678,776,1214,1410,1420,1456,1502,1582,1606]",,,0,3,gemini_snapshot,gemini_metrics,"[469,505,524,1374,1390,1468,1568,1598,1602]",,,,,
gemini-3.8-flash-medium,tuning,cost_moderate,gap_bon,Gap points,False,,,2,3,gemini_snapshot,gemini_absolute,126,,,1,3,gemini_snapshot,gemini_absolute,118,,,0,3,gemini_snapshot,gemini_absolute,134,,,,,
gemini-3.8-flash-medium,tuning,cost_moderate,gap_mi,Gap points,False,,,2,3,gemini_snapshot,gemini_absolute,128,,,1,3,gemini_snapshot,gemini_absolute,120,,,0,3,gemini_snapshot,gemini_absolute,136,,,,,
gemini-3.8-flash-medium,tuning,cost_moderate,raw_perf_bon,0-100,False,,,2,3,gemini_snapshot,gemini_absolute,130,,,1,3,gemini_snapshot,gemini_absolute,122,,,0,3,gemini_snapshot,gemini_absolute,138,,,,,
gemini-3.8-flash-medium,tuning,cost_moderate,raw_perf_mi,0-100,False,,,2,3,gemini_snapshot,gemini_absolute,132,,,1,3,gemini_snapshot,gemini_absolute,124,,,0,3,gemini_snapshot,gemini_absolute,140,,,,,
gemini-3.8-flash-medium,tuning,cost_tight,gap0_bon,Gap points,False,98.8830661457191,98.8830661457191,3,3,gemini_snapshot,gemini_metrics,"[82,871,929,1401,1417,1473,1525,1533,1551]",,,1,3,gemini_snapshot,gemini_metrics,"[255,824,909,1387,1405,1483,1561,1565,1587]",,,2,3,gemini_snapshot,gemini_metrics,"[531,867,1344,1425,1437,1461,1487,1497,1575]",,,,,
gemini-3.8-flash-medium,tuning,cost_tight,gap0_mi,Gap points,False,95.93106912372679,95.93106912372679,3,3,gemini_snapshot,gemini_metrics,"[81,870,928,1400,1416,1472,1524,1532,1550]",,,1,3,gemini_snapshot,gemini_metrics,"[254,823,908,1386,1404,1482,1560,1564,1586]",,,2,3,gemini_snapshot,gemini_metrics,"[530,866,1343,1424,1436,1460,1486,1496,1574]",,,,,
gemini-3.8-flash-medium,tuning,cost_tight,gap_bon,Gap points,False,98.88306614571911,98.88306614571911,3,3,gemini_snapshot,gemini_absolute,150,,,1,3,gemini_snapshot,gemini_absolute,142,,,2,3,gemini_snapshot,gemini_absolute,158,,,,,
gemini-3.8-flash-medium,tuning,cost_tight,gap_mi,Gap points,False,95.93106912372677,95.93106912372677,3,3,gemini_snapshot,gemini_absolute,152,,,1,3,gemini_snapshot,gemini_absolute,144,,,2,3,gemini_snapshot,gemini_absolute,160,,,,,
gemini-3.8-flash-medium,tuning,cost_tight,raw_perf_bon,0-100,False,94.22854317559137,0.9422854317559137,3,3,gemini_snapshot,gemini_absolute,154,,,1,3,gemini_snapshot,gemini_absolute,146,,,2,3,gemini_snapshot,gemini_absolute,162,,,,,
