model,scenario,regime,metric,reported_unit,complete_three_strategy,naive,naive_raw,naive_complete_items,naive_expected_items,naive_cohort,naive_source_input,naive_source_row,cached,cached_raw,cached_complete_items,cached_expected_items,cached_cohort,cached_source_input,cached_source_row,poolact,poolact_raw,poolact_complete_items,poolact_expected_items,poolact_cohort,poolact_source_input,poolact_source_row,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
kimi-k3,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,73.75565610859728,0.7375565610859728,13,13,kimi_original,old_absolute,3223,76.47058823529412,0.7647058823529411,13,13,kimi_original,old_absolute,3210,93.66515837104072,0.9366515837104072,13,13,kimi_original,old_absolute,3236,19.909502262443446,26.99386503067487,17.194570135746613,22.48520710059172,17.194570135746613
kimi-k3,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,55.203619909502265,0.5520361990950227,13,13,kimi_original,old_absolute,3262,54.75113122171946,0.5475113122171946,13,13,kimi_original,old_absolute,3249,62.89592760180995,0.6289592760180995,13,13,kimi_original,old_absolute,3275,7.692307692307687,13.93442622950818,8.14479638009049,14.876033057851235,7.692307692307687
kimi-k3,restricted_search,cost_moderate,f1_mv,0-100,True,64.59192223898106,0.6459192223898106,39,39,kimi_original,old_absolute,3299,64.20342185048067,0.6420342185048067,39,39,kimi_original,old_absolute,3288,66.74088438794321,0.6674088438794321,39,39,kimi_original,old_absolute,3310,2.1489621489621524,3.326982809106216,2.5374625374625426,3.952223206065053,2.1489621489621524
kimi-k3,restricted_search,cost_tight,f1_mv,0-100,True,21.287078934137757,0.21287078934137757,39,39,kimi_original,old_absolute,3332,18.722976370035195,0.18722976370035194,39,39,kimi_original,old_absolute,3321,30.4323780794369,0.304323780794369,39,39,kimi_original,old_absolute,3343,9.145299145299143,42.96173830892771,11.709401709401707,62.54027926960257,9.145299145299143
kimi-k3,tuning,cost_moderate,gap0_mi,Gap points,True,98.03886592767417,98.03886592767417,3,3,kimi_original,old_gap0,16,97.9611398348133,97.9611398348133,3,3,kimi_original,old_gap0,14,98.5563281837845,98.5563281837845,3,3,kimi_original,old_gap0,18,0.5174622561103348,0.5278133842266941,0.595188348971206,0.6075759734674779,0.5174622561103348
kimi-k3,tuning,cost_tight,gap0_mi,Gap points,True,93.64915826734827,93.64915826734827,3,3,kimi_rerun_20260912,rerun_aggregate,122,92.95336655015971,92.95336655015971,3,3,kimi_rerun_20260912,rerun_aggregate,116,95.52366392604269,95.52366392604269,3,3,kimi_rerun_20260912,rerun_aggregate,128,1.8745056586944173,2.001625741625035,2.570297375882973,2.7651471606420897,1.8745056586944173
qwen3.8-2.4t-a95b-fp8,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,68.77828054298642,0.6877828054298643,13,13,qwen_original,old_absolute,4390,74.66063348416289,0.7466063348416289,13,13,qwen_original,old_absolute,4377,93.66515837104072,0.9366515837104072,13,13,qwen_original,old_absolute,4403,24.8868778280543,36.184210526315795,19.00452488687784,25.454545454545464,19.00452488687784
qwen3.8-2.4t-a95b-fp8,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,56.10859728506787,0.5610859728506787,13,13,qwen_original,old_absolute,4429,60.18099547511312,0.6018099547511312,13,13,qwen_original,old_absolute,4416,63.80090497737557,0.6380090497737557,13,13,qwen_original,old_absolute,4442,7.692307692307699,13.709677419354849,3.619909502262453,6.015037593984984,3.619909502262453
qwen3.8-2.4t-a95b-fp8,restricted_search,cost_moderate,f1_mv,0-100,True,61.21381886087769,0.6121381886087769,39,39,qwen_original,old_absolute,4544,61.17311882017764,0.6117311882017764,39,39,qwen_original,old_absolute,4533,63.484881131939964,0.6348488113193996,39,39,qwen_original,old_absolute,4555,2.271062271062274,3.710048340920835,2.311762311762322,3.779049288884373,2.271062271062274
qwen3.8-2.4t-a95b-fp8,restricted_search,cost_tight,f1_mv,0-100,True,18.295625942684765,0.18295625942684765,39,39,qwen_original,old_absolute,4577,23.313940960999783,0.23313940960999785,39,39,qwen_original,old_absolute,4566,20.688788335847157,0.20688788335847158,39,39,qwen_original,old_absolute,4588,2.393162393162393,13.08051662544656,-2.625152625152627,-11.260012322858914,-2.625152625152627
qwen3.8-2.4t-a95b-fp8,tuning,cost_moderate,gap0_mi,Gap points,True,96.92295141673004,96.92295141673004,3,3,qwen_original,old_gap0,64,97.72333308119075,97.72333308119075,3,3,qwen_original,old_gap0,62,98.86948406116441,98.86948406116441,3,3,qwen_original,old_gap0,66,1.9465326444343702,2.0083299321592696,1.1461509799736689,1.1728529347452943,1.1461509799736689
qwen3.8-2.4t-a95b-fp8,tuning,cost_tight,gap0_mi,Gap points,True,90.62109028315723,90.62109028315723,3,3,qwen_original,old_gap0,70,90.7576025727036,90.7576025727036,3,3,qwen_original,old_gap0,68,96.27067313679852,96.27067313679852,3,3,qwen_original,old_gap0,72,5.6495828536412915,6.234291417139692,5.513070564094917,6.074499995389959,5.513070564094917
