model,regime,strategy,pools,mean_agents,mean_feedback_attempts,mean_feedback_visible,mean_unique_query_attempts,mean_unique_visible_queries,mean_hypothesis_attempts,mean_visible_hypotheses,mean_first_choice_unique_hypotheses,mean_within_agent_repeated_attempts,mean_cross_agent_overlap_queries,mean_unique_verified_correct_queries,mean_unique_verified_correct_nonempty,mean_semantic_redundancy_fraction,mean_correct_visible,mean_incomplete_visible,mean_irrelevant_visible,mean_other_visible,mean_withheld,mean_invalid_payload_attempts,mean_peer_snapshot_count,mean_peer_verified_correct_queries,mean_peer_only_verified_correct_queries,mean_final_matches_peer_only_verified,mean_final_matches_peer_only_verified_nonempty,mean_final_answer_parsed,mean_agents_with_peer_snapshot,mean_agents_with_peer_only_nonempty_final_match,mean_cache_hits,mean_cache_size,mean_graph_pending_claims
gemini-3.8-flash-medium,cost_tight,naive,13,4.0,9.692307692307692,9.153846153846153,5.230769230769231,4.769230769230769,4.384615384615385,4.076923076923077,1.0,0.0,4.461538461538462,2.1538461538461537,1.8461538461538463,0.4625679875679876,3.0,0.7692307692307693,5.384615384615385,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,0.0,0.0,0.0
gemini-3.8-flash-medium,cost_tight,poolact,13,4.0,10.846153846153847,9.307692307692308,6.538461538461538,5.384615384615385,5.461538461538462,4.615384615384615,1.0,0.0,4.3076923076923075,2.3076923076923075,1.9230769230769231,0.40252525252525256,2.6923076923076925,0.7692307692307693,5.846153846153846,0.0,1.5384615384615385,0.0,9.076923076923077,4.3076923076923075,3.769230769230769,3.769230769230769,3.1538461538461537,4.0,4.0,2.4615384615384617,0.0,5.384615384615385,0.0
glm-5.3,cost_moderate,cached,13,4.0,47.07692307692308,46.07692307692308,21.692307692307693,21.0,11.76923076923077,11.615384615384615,1.0,0.0,25.384615384615383,7.230769230769231,5.461538461538462,0.5230353886513864,16.0,6.0,24.0,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.230769230769231,0.0,0.0,11.153846153846153,21.0,0.0
glm-5.3,cost_moderate,naive,13,4.0,38.84615384615385,37.23076923076923,18.53846153846154,17.846153846153847,10.76923076923077,10.461538461538462,1.0,0.0,20.307692307692307,5.461538461538462,4.461538461538462,0.5206676980674629,9.461538461538462,6.6923076923076925,21.076923076923077,0.0,1.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,3.3076923076923075,0.0,0.0,0.0,0.0,0.0
glm-5.3,cost_moderate,poolact,13,4.0,38.38461538461539,37.30769230769231,27.923076923076923,27.307692307692307,15.692307692307692,15.538461538461538,1.0769230769230769,0.0,10.461538461538462,12.76923076923077,7.769230769230769,0.27243392010598494,16.692307692307693,4.3076923076923075,16.307692307692307,0.0,1.0769230769230769,0.0,37.0,32.69230769230769,27.76923076923077,20.615384615384617,14.307692307692308,3.230769230769231,4.0,3.1538461538461537,0.5384615384615384,27.307692307692307,0.0
glm-5.3,cost_tight,cached,13,4.0,13.384615384615385,10.692307692307692,8.0,5.846153846153846,5.230769230769231,4.3076923076923075,2.230769230769231,0.0,5.384615384615385,1.5384615384615385,1.1538461538461537,0.3973571677191587,2.6923076923076925,1.6153846153846154,6.3076923076923075,0.07692307692307693,2.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,3.923076923076923,0.0,0.0,1.4615384615384615,5.846153846153846,0.0
glm-5.3,cost_tight,naive,13,4.0,12.384615384615385,9.692307692307692,7.384615384615385,5.769230769230769,5.230769230769231,4.461538461538462,2.3846153846153846,0.0,5.0,1.6923076923076923,1.4615384615384615,0.40336586490432647,2.3846153846153846,1.4615384615384615,5.846153846153846,0.0,2.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,3.923076923076923,0.0,0.0,0.0,0.0,0.0
glm-5.3,cost_tight,poolact,13,4.0,12.307692307692308,9.846153846153847,11.538461538461538,9.461538461538462,7.6923076923076925,7.0,4.0,0.0,0.7692307692307693,3.076923076923077,2.8461538461538463,0.0621301775147929,3.230769230769231,1.8461538461538463,4.769230769230769,0.0,2.4615384615384617,0.0,8.692307692307692,6.076923076923077,6.0,5.384615384615385,5.153846153846154,3.6923076923076925,4.0,2.6923076923076925,0.0,9.461538461538462,0.0
gpt-5.6-sol,cost_moderate,cached,13,4.0,19.76923076923077,19.615384615384617,12.615384615384615,12.461538461538462,6.615384615384615,6.538461538461538,1.0,0.0,7.153846153846154,3.923076923076923,2.5384615384615383,0.4015889099751977,5.384615384615385,1.9230769230769231,12.307692307692308,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,2.230769230769231,12.461538461538462,0.0
gpt-5.6-sol,cost_moderate,naive,13,4.0,26.076923076923077,25.76923076923077,16.0,15.76923076923077,7.769230769230769,7.769230769230769,1.0,0.0,10.076923076923077,4.846153846153846,3.076923076923077,0.36068221572200354,7.846153846153846,2.8461538461538463,15.076923076923077,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,3.923076923076923,0.0,0.0,0.0,0.0,0.0
