model,system,regime,strategy,metric,slots,display_unit,old_official_count,old_official_mean_percent,old_official_coverage,prior_diagnostic_count,prior_diagnostic_mean_percent,prior_diagnostic_coverage,existing_trace_rescored_count,existing_trace_rescored_mean_percent,existing_trace_rescored_coverage,final_official_count,final_official_mean_percent,final_official_coverage
qwen3.8-2.4t-a95b-fp8,expgym,cost_tight,single,label_acc,39,percentage_points,39,83.10708898944196,complete,39,83.10708898944196,complete,39,83.10708898944196,complete,39,83.10708898944196,complete
qwen3.8-2.4t-a95b-fp8,expgym,cost_tight,single,evidence_acc,39,percentage_points,39,58.37104072398189,complete,39,58.37104072398189,complete,39,58.37104072398189,complete,39,58.37104072398189,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_moderate,cached,label_acc_mv,13,percentage_points,13,89.14027149321268,complete,13,89.59276018099548,complete,13,89.59276018099548,complete,13,89.14027149321268,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_moderate,cached,evidence_acc_mv,13,percentage_points,13,74.66063348416291,complete,13,74.66063348416291,complete,13,74.66063348416291,complete,13,74.20814479638011,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_moderate,naive,label_acc_mv,13,percentage_points,13,90.04524886877829,complete,13,90.04524886877829,complete,13,90.04524886877829,complete,13,90.04524886877829,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_moderate,naive,evidence_acc_mv,13,percentage_points,13,68.77828054298641,complete,13,68.77828054298641,complete,13,68.77828054298641,complete,13,71.49321266968326,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_moderate,poolact,label_acc_mv,13,percentage_points,13,95.92760180995475,complete,13,95.92760180995475,complete,13,95.92760180995475,complete,13,95.47511312217195,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_moderate,poolact,evidence_acc_mv,13,percentage_points,13,93.66515837104072,complete,13,93.66515837104072,complete,13,93.66515837104072,complete,13,94.57013574660634,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_tight,cached,label_acc_mv,13,percentage_points,13,83.710407239819,complete,13,83.710407239819,complete,13,83.710407239819,complete,13,83.710407239819,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_tight,cached,evidence_acc_mv,13,percentage_points,13,60.18099547511312,complete,13,60.18099547511312,complete,13,60.18099547511312,complete,13,60.18099547511312,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_tight,naive,label_acc_mv,13,percentage_points,13,83.25791855203619,complete,13,83.25791855203619,complete,13,83.25791855203619,complete,13,83.25791855203619,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_tight,naive,evidence_acc_mv,13,percentage_points,13,56.108597285067866,complete,13,55.65610859728506,complete,13,55.65610859728506,complete,13,55.65610859728506,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_tight,poolact,label_acc_mv,13,percentage_points,13,85.52036199095022,complete,13,85.97285067873302,complete,13,85.97285067873302,complete,13,85.97285067873302,complete
qwen3.8-2.4t-a95b-fp8,poolact,cost_tight,poolact,evidence_acc_mv,13,percentage_points,13,63.80090497737556,complete,13,64.25339366515837,complete,13,64.25339366515837,complete,13,63.80090497737557,complete
