model,system,scenario,slice_kind,slice,regime,strategy,metric,unit,N,expected_units,known_units,missing_units,expected_items,complete_items,repeats_min,repeats_max,full_mean,known_subset_mean,cohort_id,source_input,source_row,run_start_utc,run_end_utc,latest_selection,display_value,display_unit,status
gemini-3.8-flash-medium,poolact,evidence_audit,all,all,cost_tight,naive,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.6877828054298643,0.6877828054298643,gemini_snapshot,gemini_absolute,80,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,68.78,0–100,known
gemini-3.8-flash-medium,poolact,evidence_audit,all,all,cost_tight,poolact,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.7375565610859728,0.7375565610859728,gemini_snapshot,gemini_absolute,88,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,73.76,0–100,known
gemini-3.8-flash-medium,poolact,restricted_search,all,all,cost_moderate,cached,f1_mv,fraction,4,39,39,0,39,39,1,1,0.6810840575546458,0.6810840575546458,gemini_snapshot,gemini_absolute,96,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,68.11,0–100,known
gemini-3.8-flash-medium,poolact,restricted_search,all,all,cost_moderate,naive,f1_mv,fraction,4,39,38,1,39,38,1,1,,0.6428669713499434,gemini_snapshot,gemini_absolute,100,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,unknown,0–100,unknown
gemini-3.8-flash-medium,poolact,restricted_search,all,all,cost_moderate,poolact,f1_mv,fraction,4,39,39,0,39,39,1,1,0.6804328569034451,0.6804328569034451,gemini_snapshot,gemini_absolute,104,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,68.04,0–100,known
gemini-3.8-flash-medium,poolact,restricted_search,all,all,cost_tight,cached,f1_mv,fraction,4,39,39,0,39,39,1,1,0.2089857854563737,0.2089857854563737,gemini_snapshot,gemini_absolute,108,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,20.90,0–100,known
gemini-3.8-flash-medium,poolact,restricted_search,all,all,cost_tight,naive,f1_mv,fraction,4,39,39,0,39,39,1,1,0.20432378079436903,0.20432378079436903,gemini_snapshot,gemini_absolute,112,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,20.43,0–100,known
gemini-3.8-flash-medium,poolact,restricted_search,all,all,cost_tight,poolact,f1_mv,fraction,4,39,39,0,39,39,1,1,0.3339941104646987,0.3339941104646987,gemini_snapshot,gemini_absolute,116,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,33.40,0–100,known
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_moderate,cached,gap0_mi,Gap points,4,9,7,2,3,1,3,3,,98.81380179996387,gemini_snapshot,gemini_metrics,"[678,776,1214,1410,1420,1456,1502,1582,1606]",2026-09-11T09:35:12.476632+00:00,,derived_from_all_registered_saved_scalars; unknown_not_dropped,unknown,points,unknown
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_moderate,cached,gap_mi,Gap points,4,9,7,2,3,1,3,3,,98.81380179996387,gemini_snapshot,gemini_absolute,120,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,unknown,points,unknown
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_moderate,naive,gap0_mi,Gap points,4,9,8,1,3,2,3,3,,98.80116813716407,gemini_snapshot,gemini_metrics,"[285,509,615,1368,1428,1446,1490,1546,1578]",2026-09-11T09:35:12.476632+00:00,,derived_from_all_registered_saved_scalars; unknown_not_dropped,unknown,points,unknown
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_moderate,naive,gap_mi,Gap points,4,9,8,1,3,2,3,3,,98.80116813716408,gemini_snapshot,gemini_absolute,128,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,unknown,points,unknown
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_moderate,poolact,gap0_mi,Gap points,4,9,6,3,3,0,3,3,,98.75104048657495,gemini_snapshot,gemini_metrics,"[469,505,524,1374,1390,1468,1568,1598,1602]",2026-09-11T09:35:12.476632+00:00,,derived_from_all_registered_saved_scalars; unknown_not_dropped,unknown,points,unknown
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_moderate,poolact,gap_mi,Gap points,4,9,6,3,3,0,3,3,,98.75104048657495,gemini_snapshot,gemini_absolute,136,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,unknown,points,unknown
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_tight,cached,gap0_mi,Gap points,4,9,7,2,3,1,3,3,,96.33271196292334,gemini_snapshot,gemini_metrics,"[254,823,908,1386,1404,1482,1560,1564,1586]",2026-09-11T09:35:12.476632+00:00,,derived_from_all_registered_saved_scalars; unknown_not_dropped,unknown,points,unknown
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_tight,cached,gap_mi,Gap points,4,9,7,2,3,1,3,3,,96.33271196292333,gemini_snapshot,gemini_absolute,144,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,unknown,points,unknown
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_tight,naive,gap0_mi,Gap points,4,9,9,0,3,3,3,3,95.93106912372679,95.93106912372679,gemini_snapshot,gemini_metrics,"[81,870,928,1400,1416,1472,1524,1532,1550]",2026-09-11T09:35:12.476632+00:00,,derived_from_all_registered_saved_scalars; unknown_not_dropped,95.93,points,known
