model,task,seed,rep,free_delivered,tight_delivered,free_stopping,tight_stopping,free_first_best,tight_first_best,free_final,tight_final
glm-5.3,hpobench:nasbench201:imagenet16-120,2208,0,30,3,cap,budget,18,1,0.46377777757432714,0.41111111097547737
glm-5.3,hpobench:paramnet:adult:steps,2200,0,30,1,cap,budget,26,1,0.8515000006208817,0.8422037010656462
glm-5.3,hpobench:paramnet:adult:steps,2204,0,29,1,cap,budget,26,1,0.851509261512094,0.8422037010656462
glm-5.3,hpobench:paramnet:adult:steps,2208,0,30,1,cap,budget,29,1,0.8527500005314748,0.8422037010656462
glm-5.3,hpobench:paramnet:higgs:steps,2200,0,30,6,cap,natural,30,3,0.7167804475336222,0.7165359819152589
glm-5.3,hpobench:paramnet:higgs:steps,2204,0,30,4,cap,budget,26,2,0.717998156180241,0.7060885648645213
glm-5.3,hpobench:paramnet:higgs:steps,2208,0,29,3,cap,natural,24,3,0.7175276792738106,0.683952954681006
glm-5.3,hpobench:paramnet:letter:steps,2200,0,30,4,cap,natural,25,4,0.9138398914383526,0.8998869275450976
glm-5.3,hpobench:paramnet:letter:steps,2204,0,29,5,cap,budget,27,4,0.9655811835985171,0.8982813221763454
glm-5.3,hpobench:paramnet:letter:steps,2208,0,29,4,cap,natural,18,4,0.9637720491149101,0.9063093650575571
gpt-5.6-sol,hpobench:nasbench101:A,2200,0,19,1,natural,budget,14,1,0.9402710994084676,0.9026442170143127
gpt-5.6-sol,hpobench:nasbench101:A,2204,0,23,2,natural,budget,18,2,0.9428084890047709,0.9351629416147867
gpt-5.6-sol,hpobench:nasbench101:A,2208,0,16,1,natural,budget,12,1,0.9432759086290995,0.9289863705635071
gpt-5.6-sol,hpobench:nasbench101:B,2200,0,13,4,natural,natural,6,2,0.9421741366386414,0.9372662901878357
gpt-5.6-sol,hpobench:nasbench101:B,2204,0,20,4,natural,budget,13,2,0.9376001556714376,0.9371995329856873
gpt-5.6-sol,hpobench:nasbench101:B,2208,0,22,6,natural,natural,20,2,0.939269502957662,0.9377003113428751
gpt-5.6-sol,hpobench:nasbench101:C,2200,0,25,5,natural,natural,22,5,0.940872073173523,0.9432759086290995
gpt-5.6-sol,hpobench:nasbench101:C,2204,0,13,6,natural,natural,8,2,0.9424078663190206,0.9387687047322592
gpt-5.6-sol,hpobench:nasbench101:C,2208,0,17,6,natural,natural,8,6,0.9421741366386414,0.9380007982254028
gpt-5.6-sol,hpobench:nasbench201:cifar10-valid,2200,0,20,3,natural,natural,15,2,0.915533333235677,0.9128399999511718
gpt-5.6-sol,hpobench:nasbench201:cifar10-valid,2204,0,16,3,natural,natural,10,2,0.9160666665039063,0.915533333235677
gpt-5.6-sol,hpobench:nasbench201:cifar10-valid,2208,0,14,3,natural,natural,11,3,0.9160666665039063,0.9142266665120444
gpt-5.6-sol,hpobench:nasbench201:cifar100,2200,0,24,2,natural,budget,9,2,0.7288333333333332,0.7263666666666666
gpt-5.6-sol,hpobench:nasbench201:cifar100,2204,0,15,3,natural,natural,7,1,0.7350333333333333,0.7263666666666666
