table,record,model,system,scenario,regime,strategy,slice_kind,slice,metric,field,historical,new,changed,delta,historical_identity,new_identity
absolute_settings.csv,3233,kimi-k3,expgym,evidence_audit,cost_tight,single,family,evidence_audit,evidence_acc,full_mean,0.5158371040723982,0.526395173453997,True,0.010558069381598756,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3233,kimi-k3,expgym,evidence_audit,cost_tight,single,family,evidence_audit,evidence_acc,known_subset_mean,0.5158371040723982,0.526395173453997,True,0.010558069381598756,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3234,kimi-k3,expgym,evidence_audit,cost_tight,single,family,evidence_audit,label_acc,full_mean,0.7948717948717948,0.8144796380090498,True,0.019607843137254943,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3234,kimi-k3,expgym,evidence_audit,cost_tight,single,family,evidence_audit,label_acc,known_subset_mean,0.7948717948717948,0.8144796380090498,True,0.019607843137254943,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1174,glm-5.3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,full_mean,0.6847662141779789,0.8642533936651584,True,0.17948717948717952,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1174,glm-5.3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,known_subset_mean,0.6847662141779789,0.8642533936651584,True,0.17948717948717952,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1175,glm-5.3,expgym,evidence_audit,cost_free,single,all,all,label_acc,full_mean,0.6923076923076923,0.8687782805429864,True,0.17647058823529416,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1175,glm-5.3,expgym,evidence_audit,cost_free,single,all,all,label_acc,known_subset_mean,0.6923076923076923,0.8687782805429864,True,0.17647058823529416,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1176,glm-5.3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,full_mean,0.6787330316742082,0.751131221719457,True,0.07239819004524883,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1176,glm-5.3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,known_subset_mean,0.6787330316742082,0.751131221719457,True,0.07239819004524883,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1177,glm-5.3,expgym,evidence_audit,cost_moderate,single,all,all,label_acc,full_mean,0.7601809954751131,0.8521870286576169,True,0.09200603318250378,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1177,glm-5.3,expgym,evidence_audit,cost_moderate,single,all,all,label_acc,known_subset_mean,0.7601809954751131,0.8521870286576169,True,0.09200603318250378,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1178,glm-5.3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,full_mean,0.502262443438914,0.5158371040723982,True,0.013574660633484226,published-297c3d0-historical-scoring,official-n4-rollback-20260919
