task,model,regime,gap0,repeats,slot_ids
hpobench:nasbench201:imagenet16-120,gemini-3.8-flash-medium,cost_moderate,97.8112361530902,3,e9e7375d419fc5966ac2edcb;b02d6b4647374187f2a137b7;08f2eeb0c070dac3b9deb349
hpobench:nasbench201:imagenet16-120,kimi-k3,cost_tight,96.29593816583329,3,6f1137a839859b9b4ef9bd92;b5c10e1911268934c301d286;5d1c0c19a0da620132a51527
hpobench:nasbench201:imagenet16-120,glm-5.3,cost_tight,79.47332575571448,3,12aa097d649162e3acbb97a3;db84b6381f57b4c0755603f0;ebde283e4cd564a330390c1e
hpobench:nasbench201:imagenet16-120,qwen3.8-2.4t-a95b-fp8,cost_tight,69.8062864773307,3,a532336569951074bb603de0;8bf4566183bbc83b9d0d973d;e1fb55b2d1732e8116597611
hpobench:nasbench201:imagenet16-120,deepseek-v4-flash-0731,cost_tight,56.5614606330794,3,55d245ac8cda67c384e18ae9;db8445cc8b7abf36c276ab66;6165feabe211e3c216455e79
hpobench:nasbench201:imagenet16-120,gpt-5.6-sol,cost_tight,83.85085309842816,3,21754a254c0fc0ec5a82e350;3d0719a73bf5a7c0728da37f;0b9c92d412cfe64e6cf2aa4d
hpobench:nasbench201:imagenet16-120,gemini-3.8-flash-medium,cost_tight,90.36102163068512,3,62c68d4944ac80de75dbd658;d3a23618c73caacc8cfa094a;b2c60d903184494a2d0ae279
hpobench:paramnet:adult:steps,kimi-k3,cost_free,97.8569945340694,3,da3be774faa25b65c3843fff;7a6490c959c93e714a5e2fab;6dc8cfa769cfbaedefd0e6c8
hpobench:paramnet:adult:steps,glm-5.3,cost_free,95.60158592858947,3,150ff18e29cb918f69deadd3;6e524e58c69b41b681e4dc6a;76c9bedc5dde76a27cbc72bd
hpobench:paramnet:adult:steps,qwen3.8-2.4t-a95b-fp8,cost_free,94.59002233887401,3,3a80f73f42d523d05009639d;9d601ab0060bbde0d6bdadba;bea822b32b5a2a7faa071223
hpobench:paramnet:adult:steps,deepseek-v4-flash-0731,cost_free,55.6893438247545,3,f00e4ec4eb2125ca0e51147f;64ff162c3d5212c504b6f08d;9064c8c34e8722bafdf67d60
hpobench:paramnet:adult:steps,gpt-5.6-sol,cost_free,97.93942317721756,3,fc530e10be3495ef53698220;333d2c0c334b10e7ac0fde3a;ca024084157bbf5721e1ecf2
hpobench:paramnet:adult:steps,gemini-3.8-flash-medium,cost_free,96.22350566250978,3,eaedd2e348b3a9a9afdb54ea;782b456a9359ae9ad97536c7;9e222da86eebda2a5fd3c3a1
hpobench:paramnet:adult:steps,kimi-k3,cost_moderate,87.32925545715685,3,f136e8178ae39b7b5dcebff5;18d98390c72bfb9a517d8c61;4c1c9edd3f4cbe3ba4bcf5b5
hpobench:paramnet:adult:steps,glm-5.3,cost_moderate,95.41426525408045,3,78e62873b8d78860408c4ae0;8db1ab797d4b20228163e07e;3c3342bf350aa66688960335
hpobench:paramnet:adult:steps,qwen3.8-2.4t-a95b-fp8,cost_moderate,91.9824424772604,3,b38b7eade1094824b41a230f;525b60e548ff63cef6ce00e9;d78f902cdd97e4d8ae338905
hpobench:paramnet:adult:steps,deepseek-v4-flash-0731,cost_moderate,87.3667258799883,3,c9b2a2046a54666ebdf4e8e8;5bcad7205ffb0ad9590b9f10;b20adcf54b3605bd1632d09e
hpobench:paramnet:adult:steps,gpt-5.6-sol,cost_moderate,90.92592336414813,3,a379adf86c3b1fa1c12d3e50;79d2e1b5c04dbb3945b71658;34aa8e99f3f0f0b4e23ba789
hpobench:paramnet:adult:steps,gemini-3.8-flash-medium,cost_moderate,87.65146071653024,3,a0b08016cd17b4291adba638;96d5fe75367124b300733192;8fcbc03dad0d816430077b88
hpobench:paramnet:adult:steps,kimi-k3,cost_tight,77.35599318842411,3,5461a5ae9fb02ca2b88fa9df;ae733a9bdbfe23bd3fbeadc9;a316d75723498e0505c31ddd
hpobench:paramnet:adult:steps,glm-5.3,cost_tight,72.01344351468897,3,97d15339a852beef56cc81dc;00ddde9c687aa7d1c40904fe;079a4c39cb8fdd7fcfb677d9
hpobench:paramnet:adult:steps,qwen3.8-2.4t-a95b-fp8,cost_tight,76.92139571049695,3,429113b39adebb6736cab68c;21b2cff8fe2e3f95bde45744;43e42da2308d589f82d47c80
hpobench:paramnet:adult:steps,deepseek-v4-flash-0731,cost_tight,48.00896234312598,3,c2822bfb0f7560f88ceae45c;b431322d86edeb6f949f4d6d;475358179bd6968267115cef
