scope,study_id,model,system,scenario,budget,strategy,N,planned_jobs,started_jobs,execution_complete_jobs,score_complete_jobs,failed_jobs,incomplete_started_jobs,unstarted_jobs,unowned_output_jobs,planned_agent_slots,started_invocation_agent_slots,physical_attempts,failed_api_attempts,pending_api_attempts,retry_attempts,attempt_number_unknown,ambiguous_terminal_agent_slots,unattributed_terminal_rows,raw_input_tokens_known_sum,raw_input_tokens_complete_sum,raw_input_tokens_unknown_attempts,total_input_tokens_known_sum,total_input_tokens_complete_sum,total_input_tokens_unknown_attempts,output_tokens_known_sum,output_tokens_complete_sum,output_tokens_unknown_attempts,total_tokens_known_sum,total_tokens_complete_sum,total_tokens_unknown_attempts,cache_read_tokens_known_sum,cache_read_tokens_complete_sum,cache_read_tokens_unknown_attempts,cache_creation_tokens_known_sum,cache_creation_tokens_complete_sum,cache_creation_tokens_unknown_attempts,reasoning_tokens_included_in_output_known_sum,reasoning_tokens_included_in_output_complete_sum,reasoning_tokens_included_in_output_unknown_attempts,request_wall_seconds_known_sum,request_wall_seconds_complete_sum,request_wall_seconds_unknown_attempts,simulated_feedback_seconds_known_sum,simulated_feedback_seconds_known_agents,simulated_feedback_seconds_unknown_planned_agents,agent_wall_seconds_known_sum,agent_wall_seconds_known_agents,agent_wall_seconds_unknown_planned_agents,feedback_attempts_known_sum,feedback_attempts_known_agents,feedback_attempts_unknown_planned_agents,logical_llm_calls_known_sum,logical_llm_calls_known_agents,logical_llm_calls_unknown_planned_agents,agent_steps_known_sum,agent_steps_known_agents,agent_steps_unknown_planned_agents,local_pool_cache_hits_known_sum,local_pool_cache_hits_known_pools,local_pool_cache_hits_unknown_pools,local_pool_cache_misses_known_sum,local_pool_cache_misses_known_pools,local_pool_cache_misses_unknown_pools
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,restricted_search,cost_moderate,cached,4,39,11,10,10,1,0,28,0,156,44,321,12,0,8,0,0,0,626927,,12,896066,,12,74297,,12,970363,,12,269139,,12,0,,12,0,,321,1116.7230665544048,1116.7230665544048,0,61770.28669771738,40,116,1124.069836249575,40,116,261.0,40,116,309.0,40,116,305.0,40,116,21.0,10,29,240.0,10,29
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,restricted_search,cost_moderate,naive,4,39,16,15,15,1,0,23,0,156,64,666,12,0,8,0,0,0,1648810,,12,2218444,,12,184003,,12,2402447,,12,566150,,12,3484,,12,0,,666,2750.718145882711,2750.718145882711,0,114250.85570647381,60,96,2767.5506860958412,60,96,562.0,60,96,654.0,60,96,638.0,60,96,0,0,39,0,0,39
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,restricted_search,cost_moderate,poolact,4,39,10,8,8,2,0,29,0,156,40,259,24,0,16,0,0,0,886543,,24,1091228,,24,50357,,24,1141585,,24,204685,,24,0,,24,0,,259,825.1710226377472,825.1710226377472,0,31101.338371299207,32,124,2966.099823327735,32,124,153.0,32,124,235.0,32,124,210.0,32,124,26.0,8,31,127.0,8,31
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,restricted_search,cost_tight,cached,4,39,17,15,15,2,0,22,0,156,68,340,24,0,16,0,0,0,456971,,24,732207,,24,121488,,24,853695,,24,273494,,24,1742,,24,0,,340,1884.7339627211913,1884.7339627211913,0,53051.383575834334,60,96,1891.6714750435203,60,96,256.0,60,96,316.0,60,96,292.0,60,96,21.0,15,24,235.0,15,24
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,restricted_search,cost_tight,naive,4,39,13,11,11,2,0,26,0,156,52,296,20,0,14,0,0,0,433719,,20,674115,,20,115429,,20,789544,,20,240396,,20,0,,20,0,,296,1893.8529441459104,1893.8529441459104,0,44990.28504648246,46,110,1758.863687036559,44,112,209.0,46,110,259.0,46,110,237.0,46,110,0,0,39,0,0,39
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,restricted_search,cost_tight,poolact,4,39,11,11,11,0,0,28,0,156,44,236,0,0,0,0,0,0,647591,647591,0,853147,853147,0,76583,76583,0,929730,929730,0,205556,205556,0,0,0,0,0,,236,1155.9122698828578,1155.9122698828578,0,40123.222108688205,44,112,3831.8619929887354,44,112,178.0,44,112,236.0,44,112,207.0,44,112,26.0,11,28,152.0,11,28
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,tuning,cost_moderate,cached,4,9,0,0,0,0,0,9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,36,0,0,36,0,0,36,0,0,36,0,0,9,0,0,9
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,tuning,cost_moderate,naive,4,9,1,1,0,0,0,8,0,36,4,12,0,0,0,0,0,0,22252,22252,0,51448,51448,0,0,0,0,51448,51448,0,0,0,0,29196,29196,0,0,,12,12.030179555527866,12.030179555527866,0,0.0,4,32,12.307364812120795,4,32,0.0,4,32,12.0,4,32,8.0,4,32,0,0,9,0,0,9
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,tuning,cost_moderate,poolact,4,9,1,1,0,0,0,8,0,36,4,12,0,0,0,0,0,0,22252,22252,0,51448,51448,0,0,0,0,51448,51448,0,0,0,0,29196,29196,0,0,,12,13.434803366661072,13.434803366661072,0,0.0,4,32,34.741662085056305,4,32,0.0,4,32,12.0,4,32,8.0,4,32,0.0,1,8,0.0,1,8
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,tuning,cost_tight,cached,4,9,1,1,0,0,0,8,0,36,4,12,0,0,0,0,0,0,21088,21088,0,52192,52192,0,0,0,0,52192,52192,0,0,0,0,31104,31104,0,0,,12,11.470613886602223,11.470613886602223,0,0.0,4,32,11.735594163648784,4,32,0.0,4,32,12.0,4,32,8.0,4,32,0.0,1,8,0.0,1,8
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,tuning,cost_tight,naive,4,9,1,1,0,0,0,8,0,36,4,12,0,0,0,0,0,0,18832,18832,0,46192,46192,0,0,0,0,46192,46192,0,0,0,0,27360,27360,0,0,,12,11.788472495041788,11.788472495041788,0,0.0,4,32,12.050550640560687,4,32,0.0,4,32,12.0,4,32,8.0,4,32,0,0,9,0,0,9
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,tuning,cost_tight,poolact,4,9,0,0,0,0,0,9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,36,0,0,36,0,0,36,0,0,36,0,0,9,0,0,9
